Topic,Words,Frequency,Class
-1,"gauid, faithfully, madam, thank, support",1,Renee Martin
0,"arent, current, got, sellers, experience",1,Renee Martin
7,"person, good, muchh, thise, toking",1,Renee Martin
14,"auth, talk, nice, way, talked",1,Renee Martin
0,"unprofessionaltry, agents, resolve, delivery, issue",1,Jessica Acosta
16,"conversation, care, good, customer, talk",1,Jessica Acosta
-1,"batter, youyou, thankful, solving, services",1,Michael Miles
0,"umbrella, damaged, possession, receipt, heard",1,Michael Miles
15,"support, nice, executive, customer, supportive",1,Michael Miles
32,"nice, person, helpful, thank, ",1,Michael Miles
-1,"culprit, responsibility, action, person, talk",1,Laura Pratt
1,"current, previous, reaching, orders, effort",1,Laura Pratt
17,"thanks, care, customer, thank, thanku",1,Laura Pratt
0,"goods, broken, refund, product, shopzilla",1,Emily Sharp
32,"nice, person, helpful, thank, ",1,Emily Sharp
-1,"supportive, person, good, talk, talking",1,Karen Schultz
0,"slot, spl, shifted, creating, rep",1,Karen Schultz
7,"person, good, muchh, thise, toking",1,Karen Schultz
23,"eat, chair, sit, food, zero",1,Karen Schultz
28,"lete, wtf, bna, le, darama",1,Kevin Ramos
8,"difficult, reach, care, customer, easy",1,Anthony Bowen
-1,"feelinf, sounds, word, overall, happy",2,Carolyn Sullivan
0,"buddy, shirts, men, color, returnable",1,Carolyn Sullivan
-1,"invoice, costomer, claims, 5stars, register",1,Gregory Davenport
-1,"agenti, character, tru, statements, keeps",1,James Blackwell
0,"duplicate, defective, fake, health, verify",1,Jason Wilson
-1,"shameful, little, executives, customers, information",1,Andrea Conley
0,"free, account, 699, spotify, saying",2,Andrea Conley
4,"enquiry, direct, number, care, good",1,Andrea Conley
38,"behavior, person, good, mindblowing, tolking",1,Andrea Conley
-1,"executivethank, spoken, supportive, kind, information",1,Stephanie Johnson
0,"forgets, compulsorysometime, open, replace, atleast",1,Stephanie Johnson
-1,"goodhis, smart, cool, conversation, care",1,Andrea Wilkerson
0,"packet, policyshopzilla, 180, pet, pointsvery",3,Andrea Wilkerson
1,"helpful, executive, polite, good, nice",1,Andrea Wilkerson
9,"solutioncustomer, missedthank, proper, consult, got",1,Andrea Wilkerson
31,"addressing, priority, gets, query, hope",1,Andrea Wilkerson
-1,"1499, credited, debited, buds2, influencer",2,Shirley Hayden
49,"response, representative, care, good, customer",1,Shirley Hayden
55,"behaviour, support, executive, good, osm",1,Shirley Hayden
-1,"rude, unable, behaviour, solve, problem",1,Omar Odonnell
0,"solve, help, thanks, thank, issue",1,Omar Odonnell
1,"sht, piece, 30, correct, took",2,Omar Odonnell
-1,"politely, behaviour, person, care, good",1,John Jones
0,"withtold, disappointedand, anythingfed, yetthe, issuei",2,John Jones
3,"attentive, appreciation, star, knowledgeable, rating",1,John Jones
20,"service, good, customer, sapoot, maners",1,John Jones
33,"seen, worst, service, customer, script",1,John Jones
-1,"sad, duplicate, working, skills, received",1,Kimberly Browning
3,"conversation, agent, thank, good, agents",1,Veronica Martinez
44,"courior, dedicated, hire, coustomer, costomer",1,Veronica Martinez
