Agent_name,word,frequency
Nathan Nguyen,size,16
Olivia Villa,phone,8
Andrea Conley,free,7
Jose Pruitt,delivery,7
Kathryn Vasquez,pairs,7
Michael Scott,good,6
Savannah Keller,return,6
Wendy Taylor,good,6
Patricia Holmes,order,6
Olivia Villa,exchange,6
Nathan Nguyen,delivery,6
Lori Daugherty,delivery,6
Lori Daugherty,date,5
Brandon Martin,baar,5
Michael Larson,good,5
Michael Ruiz,good,5
Paul Preston,order,5
Michael Ruiz,thanks,5
Douglas Savage,issue,5
Brenda Gillespie,order,5
Rachel Avila,parcel,5
Alan Cruz,number,5
Amy Mendez,request,5
Timothy Huber,order,5
Kim Barnes,return,5
Veronica Anderson,delivery,5
Micheal Morgan,phone,5
Jake Castro,opd,5
Sharon Bullock,good,5
Brandon Goodwin,rs,5
Brandon Frost,good,5
Richard Barber,good,5
Richard Smith,崺妞ゆ垼妫勬俊绌,5
Mike Fields,issue,5
Brenda Gillespie,time,5
Nathan Young,refund,5
Michael Brady,pick,5
Kathryn Vasquez,shoes,5
Jennifer Hernandez,good,5
Miss Patricia Mack DDS,issue,5
Robert Lewis,good,5
Amy Vazquez,good,4
Lisa Lawrence,order,4
Jennifer Day,return,4
Alexis Campbell,dilivery,4
Savannah Keller,request,4
David Taylor,good,4
Lawrence Phillips,issue,4
Kristine Banks,order,4
John Bailey,order,4
Daniel Davis,delivery,4
John Jones,issue,4
Kathryn Vasquez,problem,4
Amy Vazquez,thank,4
Seth Williamson,packing,4
Cathy Harris,exchange,4
Kimberly Medina,good,4
Elizabeth Garcia,delivery,4
Debra Brown,good,4
Christian Armstrong,order,4
Jose Pruitt,order,4
Nathan Nguyen,option,4
Michael Olsen,good,4
Mark Black,good,4
Nicholas Wright,delivery,4
Nathan Young,worst,4
Julie Mahoney,delivery,4
Sheena Williams,support,4
Ariana Young,good,4
Katrina Mendoza,delivery,4
Brandon Leon,worst,4
Ann English,time,4
Amy Vazquez,really,4
Carolyn Norman,good,4
Rachel Avila,told,4
Virginia Mccormick,return,4
Erin Fischer,chat,4
Madison Flores,delivery,4
Wendy Taylor,support,4
Paul Mack,nice,4
Sarah Becker,really,4
Joshua Christensen,delivery,4
Nathan Nguyen,plz,4
Anthony Hancock,good,4
Robert Cook,th,4
Nathan Nguyen,want,4
Andrea Conley,account,4
Mary Ross,return,4
Lawrence Phillips,exchange,4
Michele Roberts,items,4
John Adkins,phone,4
Elijah Hoffman,th,4
Frederick Cook,issue,4
Daniel Woods,good,4
Linda Foster,good,4
Adriana Adams,help,4
Scott Pierce,images,4
Carla Burke,executives,4
Lawrence Phillips,exchanged,4
Alexis Campbell,make,4
Joseph Smith,order,4
Michele Roberts,grocery,4
Andrea Conley,saying,4
Jordan Wilson,good,4
Anthony Shaffer,delivery,4
Alexa Mcpherson,nice,4
Christine Castro,customers,4
Patricia Holmes,time,4
Lawrence Phillips,size,4
Kelsey Garcia,pickup,4
Michael Brady,time,4
Ruben Horton,size,4
Kayla Martin,good,4
Kayla Wilson,good,4
Samuel Douglas,good,4
Nathan Nguyen,order,4
Michael Brady,denied,4
Justin Willis,good,4
Renee Lucas,issue,4
Scott Pierce,time,4
Kristin Adams,rs,4
Brian Young,talking,4
Lawrence Phillips,delivered,4
Amy Mendez,return,4
Joshua Webb,good,4
Peter Lawrence,good,4
Steven Wilson,time,4
Alan Cruz,primary,4
Joshua Ortiz,price,4
Robert Cook,aug,4
Kathryn Vasquez,delivered,4
Rachel Avila,taken,4
Angela Reid,hai,4
Jamie Smith,good,4
Gordon Jones,good,4
Joe Walls,ut,4
Karen Bullock,thank,4
Connor Jackson,return,4
Patricia Holmes,sir,4
Timothy Huber,cancel,4
Virginia Lane,good,4
Jake Castro,facility,4
Timothy Huff,nice,4
Christopher Dean,support,4
Richard Reyes,good,4
Melissa Spence,order,4
Mikayla Wright,times,4
Tony Jones,issue,4
Michael Silva,order,4
Brandon Martin,hi,4
Sarah Watts,app,3
Stanley Moss,change,3
Lawrence Phillips,resolved,3
Anthony Shaffer,good,3
Jasmine Reed,team,3
Brandon Martin,ka,3
Christopher Murphy,time,3
Melinda Allen,ai,3
Connor Jackson,time,3
Matthew Wolf,good,3
Lawrence Phillips,app,3
Kathy Strong,conversation,3
Jessica Daugherty,talked,3
Kenneth Ramos,did,3
